UPC,Count,Type,VaryingFields
3800233070897,2,VARIATION,"{'ITEM': ['RC RICE CAKEWITH 7 SUPER SEEDS 120G', 'RICE UP ORG RICE CAKES W 7 SUPER SEEDS 120G'], 'BRAND': ['T', 'RICE UP'], 'VARIANT': ['NONE', 'RICE']}"
4008400836423,2,VARIATION,"{'ITEM': ['KINDER HAPPY HIPPO T5 CHOCOLATE 5X 20.7GM', 'KINDER HPY HIPPO CHOC 103G MLK'], 'MPACK': ['X1', 'X5'], 'NRMSIZE': ['103GM', '20.7GM']}"
4017100124112,2,VARIATION,"{'ITEM': ['LEIBNIZ ZOO COUNTRY WITH BISCUIT SPELT & OAT 100GM', 'BAHLSEN ZOO COUNTRY (SPELT + OATS) 100G'], 'VARIANT': ['CHOCOLATE', 'OAT']}"
4543112882783,2,VARIATION,"{'ITEM': ['TOHATO CRAY CHIN CHAN CHOCO SNACK 25 GM', 'TOHATO CHOCOBI 25G'], 'NRMSIZE': ['25GM', 'NONE'], 'VARIANT': ['CHOCOLATE', 'NONE']}"
4549660884903,2,VARIATION,"{'ITEM': ['TOHATO CHOCOBI GREEN 56G', 'TOHATO CHOCO PEA CHOCOLATE (GREEN) 25GM'], 'NRMSIZE': ['25GM', '56GM']}"
4571155820714,2,VARIATION,"{'ITEM': ['ITO SEIKA CALCUIT 75GM', 'MR ITO CARUKET 90GM'], 'BRAND': ['MR ITO', 'ITO'], 'NRMSIZE': ['75GM', '90GM']}"
4571155820868,2,VARIATION,"{'ITEM': ['MR ITO CARUKET BORO 80GM', 'CALCUITS BORO BISCUIT 8X5X80GM'], 'BRAND': ['MR ITO', 'CALCUITS'], 'MPACK': ['X1', 'X40']}"
4710144101216,3,VARIATION,"{'ITEM': ['WANG WANG SENBEI 92GM', 'HUP SENG WANG WANG SENBEI 16X92GM', 'HOT-KID WANG WANG SENBEI KRACKER BERAS 92GM'], 'BRAND': ['HOTKID', 'HUP SENG', 'WANG WANG'], 'MPACK': ['X1', 'X16']}"
4710247018800,2,VARIATION,"{'ITEM': ['OREO MINI CHOCOLATE 8X23G', 'OREO MINI CHOCOLATE MULTIPACK 8X20.4G'], 'NRMSIZE': ['23GM', '20.4GM']}"
4710304300930,2,VARIATION,"{'ITEM': ['C-SRN VEGETABLE THIN CRACKER 75GM', 'SRN VEGETABLE THIN CRACKER 68GM'], 'NRMSIZE': ['75GM', '68GM']}"
4710467221196,2,VARIATION,"{'ITEM': ['CH SEAWEED BISCUIT 360G', 'CH BUTTER CHEESE BISCUITS 310GM'], 'NRMSIZE': ['310GM', '360GM'], 'VARIANT': ['BUTTER', 'SEAWEED']}"
4713002008696,2,VARIATION,"{'ITEM': ['MQ ORIGINAL QUINOA NUT SOYA WAFER 255G', 'MQ ORIGINAL SOYA WAFER 240G'], 'NRMSIZE': ['240GM', '255GM'], 'VARIANT': ['ORIGINAL', 'SOYA']}"
4713002008702,2,VARIATION,"{'ITEM': ['MQ BLACK SESAME BROWN RICE SOYA WAFER 255GM', 'MQ BLACK SESAME BROWN RICE SOYA WAFER 240GM'], 'NRMSIZE': ['240GM', '255GM'], 'VARIANT': ['SOYA', 'RICE']}"
4800092660634,2,VARIATION,"{'ITEM': ['REBISCO CHOCO MUCHO MILK CHOCOLATE 25GM', 'CHOCOMUCHO MILK CHOC 32G'], 'BRAND': ['REBISCO', 'CHOCO MUCHO'], 'NRMSIZE': ['32GM', '25GM']}"
4893049150142,2,VARIATION,"{'ITEM': ['OREO CRUMBS 24X454G', 'OREO SML CRUSH CKS PIECES 454G'], 'MPACK': ['X24', 'X1']}"
4901005118720,2,VARIATION,"{'ITEM': ['GLICO 9BAG POCKY CHOCOLATE COOKIE 127GM (14.1GMX9)', 'GLICO 9BAG POCKY CHOCOLATE COOKIE 133.2G (14.8GM X 9)'], 'NRMSIZE': ['14.8GM', '14.1GM']}"
4901005512603,2,VARIATION,"{'ITEM': ['GLICO POCKY CHOCOLATE CACAO 60% 81G', 'GLICO POCKY CACAO 60G'], 'NRMSIZE': ['81GM', '60GM']}"
4901005520820,2,VARIATION,"{'ITEM': ['GLICO PRETZ TOMATO (9X16G)', 'GLICO TOMATO PRETZEL 134G (14.9GM X 9)'], 'NRMSIZE': ['NONE', '16GM'], 'VARIANT': ['NONE', 'TOMATO']}"
4901360331536,2,VARIATION,"{'ITEM': ['BOURBON BUTTER COOKIES 100G', 'BOURBON BUTTER COOKIES 134G']}"
4901360285570,2,VARIATION,"{'ITEM': ['BOURBON GOKOKU NO BISCUIT 144G', 'BOURBON GOKOKU NO BISCUT 32P 133GM'], 'NRMSIZE': ['NONE', '144GM']}"
4901360285587,2,VARIATION,"{'ITEM': ['BOURBON TONYU NO WAFERS 107GM', 'BOURBON WAFER OF SOY MILK 113GM'], 'NRMSIZE': ['NONE', '113GM']}"
4901360305902,2,VARIATION,"{'ITEM': ['BOURBON KIKORI NO KIRIKABU 66G', 'BOURBON STUMP OF THE WOODCUTTER 66GM'], 'NRMSIZE': ['NONE', '66GM'], 'VARIANT': ['NONE', 'CHOCOLATE']}"
4901360332113,2,VARIATION,"{'ITEM': ['BOURBON CHOCO & COFFEE BISCUIT 110G', 'BOURBON CHOCO & COFFEE BISCUIT 169G'], 'NRMSIZE': ['169GM', '110GM']}"
4901360332120,2,VARIATION,"{'ITEM': ['BOURBON CHOCO DIGESTIVE 136G', 'BOURBON CHOCO DIGESTIVE BISCUIT 98G']}"
4901360335855,2,VARIATION,"{'ITEM': ['KI-BOURBON LUMOND B15 127G', 'BOURBON LUMOND 93G'], 'NRMSIZE': ['NONE', '127GM']}"
4901360348732,2,VARIATION,"{'ITEM': ['BOURBON WHITE ROLLITA COOKIE 98G', 'BOURBON WHITE ROLLITA COOKIE 114G'], 'NRMSIZE': ['114GM', '98GM']}"
