Markets,Product Segment,MANUFACTURER,MPACK,NRMSIZE,BRAND,ITEM,UPC,VARIANT,Facts,Dec 23 - w/e 31/12/23,Jan 24 - w/e 31/01/24,Feb 24 - w/e 29/02/24,Mar 24 - w/e 31/03/24,Apr 24 - w/e 30/04/24,May 24 - w/e 31/05/24,Jun 24 - w/e 30/06/24,Jul 24 - w/e 31/07/24,Aug 24 - w/e 31/08/24,Sep 24 - w/e 30/09/24,Oct 24 - w/e 31/10/24,Nov 24 - w/e 30/11/24,MAT Nov'24
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,135GM,CADBURY,CADBURY COOKIES CHOC CHIP 135G,7622210809049,CHOCOLATE CHIP,Numeric Distribution Selling (C),0.038,0.039,0.04,0.03,0.03,0.04,0.26,0.32,0.18,0.05,0.02,0.08,0.41
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,135GM,CADBURY,CADBURY COOKIES CHOC CHIP 135G,7622210809049,CHOCOLATE CHIP,Weighted Distribution - Reach - Product Segment,2.21,1.824,1.89,1.63,2.16,3.08,2.74,2.91,2.17,1.55,0.76,3.43,7.29
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,150GM,CADBURY,CADBURY COOKIES 150GM,8934680046640,CHOCOLATE,Sales Value,"1,042,417.65","895,862.92","795,367.68","715,758.32","644,396.16","656,031.17","538,032.89","562,399.47","604,226.74","561,922.06","570,862.65","764,081.64","8,351,359.35"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,150GM,CADBURY,CADBURY COOKIES 150GM,8934680046640,CHOCOLATE,Sales (KG/LIT/000'U),"22,842.06","19,740.53","17,917.09","15,770.20","14,830.25","15,016.42","11,804.26","12,385.64","13,405.52","12,457.25","12,509.62","18,107.36","186,786.18"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,150GM,CADBURY,CADBURY COOKIES 150GM,8934680046640,CHOCOLATE,Sales Units,"152,280.37","131,603.55","119,447.25","105,134.69","98,868.30","100,109.45","78,695.04","82,570.96","89,370.11","83,048.34","83,397.44","120,715.70","1,245,241.20"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,150GM,CADBURY,CADBURY COOKIES 150GM,8934680046640,CHOCOLATE,Price per Sales (KG/LIT/000'U),45.636,45.382,44.39,45.39,43.45,43.69,45.58,45.41,45.07,45.11,45.63,42.20,44.71
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,150GM,CADBURY,CADBURY COOKIES 150GM,8934680046640,CHOCOLATE,Numeric Distribution Selling (C),5.594,5.297,5.322,5.157,5.112,4.958,4.726,4.60,4.65,4.78,4.77,4.86,6.25
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,150GM,CADBURY,CADBURY COOKIES 150GM,8934680046640,CHOCOLATE,Weighted Distribution - Reach - Product Segment,78.063,79.231,76.84,76.08,76.62,75.89,73.44,71.56,75.27,75.51,76.27,76.58,79.71
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,150GM,CADBURY,CADBURY XMAS ANIMAL FESTIVE FRIENDS 150 GM,7622210838209,NONE,Sales Value,"8,528.20",15.48,7.948,2.21,,,,,,,,,"8,553.84"
Pen Malaysia,TOTAL BISCUITS,MONDELEZ,X1,150GM,CADBURY,CADBURY XMAS ANIMAL FESTIVE FRIENDS 150 GM,7622210838209,NONE,Sales (KG/LIT/000'U),118.094,0.9,0.32,0.13,,,,,,,,,119.44
